"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
202110,Direct Study Abroad,10474,ABRD 999,002,0,Abroad Invoice - Direct Study,Required for Direct Study Abroad.,,, ,Twelve Week Course,TBA,TBA,0,25,0/0,0/0,25,,
202110,Guilford,10055,ACCT 201,001,4,Introduction to Accounting,Online asynchronous,,"Cardwell, Ronald", ,Twelve Week Course,TBA,TBA,39,40,0/0,0/0,1,,
202110,Guilford,10058,ACCT 301,001,4,Intermediate Accounting I,Prerequisite:  ACCT 201 and passing business math test. Online asynchronous,,"Cardwell, Ronald", ,Twelve Week Course,TBA,TBA,4,25,0/0,0/0,21,,
202110,Guilford,10062,ACCT 302,001,4,Intermediate Accounting II,Prerequiste: ACCT 301 and passing business math test. Hybrid course.,,"Granger, Henry",BAUM 205,Twelve Week Course,TR,8:30am - 10:30am,12,25,0/0,0/0,13,,
202110,Guilford,10059,ACCT 303,001,4,Intermediate Accounting III,Prerequiste: ACCT 302 and passing business math test. Hybrid course.,,"Granger, Henry",BAUM 205,Twelve Week Course,TR,10:45am - 12:45pm,9,25,0/0,0/0,16,,
202110,Guilford,10060,ACCT 322,001,4,Corporate Taxation,Prerequiste: ACCT 321 recommended. Online asynchronous.,,"Cardwell, Ronald", ,Twelve Week Course,TBA,TBA,14,25,0/0,0/0,11,,
202110,Guilford,10061,ACCT 411,001,4,Auditing,Prerequiste: ACCT 302. Hybrid course.,,"Granger, Henry",BAUM 202,Twelve Week Course,TR,1:00pm - 3:00pm,6,25,0/0,0/0,19,,
202110,Guilford,10510,AFAM 225,001,4,African American History,Online Synchronous.,,"Holland, Johnnie", ,Twelve Week Course,MW,10:00am - 12:00pm,19,25,0/0,0/0,6,31,
202110,Guilford,10631,AFAM 250,001,4,Black American Theatre,Online synchronous.,,"Matthews-Bates, Melanie", ,Twelve Week Course,MW,6:00pm - 8:00pm,1,15,0/0,0/0,14,14,
202110,Guilford,10594,AFAM 350,001,4,Afrofuturism:Dreaming in Black,,,"Holland, Johnnie   Williams, Antoine",FOUN E GALLERY,3 Week Session,MTWRF,9:00am - 12:00pm,4,25,0/0,0/0,21,26,
202110,Guilford,10349,ART 102,001,4,Visual Communications,"Hybrid -- Due to precautions related to COVID-19, this will take place online, either synchronously or asynchronously. However, if restrictions lessen and participants consent, we may have some face-to-face meetings. $25 course fee.",,"Williams, Antoine",HCOX 202,Twelve Week Course,TR,8:30am - 11:30am,23,22,0/0,0/0,0,,
202110,Guilford,10348,ART 104,001,4,Drawing Fundamentals,"Hybrid -- Due to precautions related to COVID-19, this will take place online, either synchronously or asynchronously. However, if restrictions lessen and participants consent, we may have some face-to-face meetings. $25 course fee.",,"Thomas, William",HCOX 202,Twelve Week Course,MW,10:00am - 12:45pm,23,22,0/0,0/0,0,,
