"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
202030,Direct Study Abroad,30625,ABRD 999,001,0,Abroad Invoice-Direct Study,Required for Direct Study Abroad.,,"Diaz, Daniel", ,Twelve Week Course,TBA,TBA,0,25,0/0,0/0,25,,
202030,Guilford,30110,ACCT 201,001,4,Introduction to Accounting,,,"Cardwell, Ronald", ,Twelve Week Course,TBA,TBA,41,40,0/0,0/0,0,,
202030,Guilford,30113,ACCT 301,001,4,Intermediate Accounting I,"Prerequiste: ACCT 201, and passing business math test.",,"Cardwell, Ronald", ,Twelve Week Course,TBA,TBA,8,25,0/0,0/0,17,,
202030,Guilford,30114,ACCT 302,001,4,Intermediate Accounting II,Prerequiste: ACCT 301 and passing business math test.,,"Granger, Henry",BAUM 202,Twelve Week Course,TR,8:30am - 10:30am,9,25,0/0,0/0,16,,
202030,Guilford,30112,ACCT 311,001,4,Cost Accounting,Prerequiste: ACCT 201.,,"Granger, Henry",KING 222,Twelve Week Course,TR,1:00pm - 3:00pm,11,9,0/0,0/0,0,,
202030,Guilford,30116,ACCT 321,001,4,Taxation of Individuals,Prerequiste: ACCT 201 recommended.,,"Cardwell, Ronald", ,Twelve Week Course,TBA,TBA,5,25,0/0,0/0,20,,
202030,Guilford,30437,ART 100,001,4,Introduction to Visual Arts,Online asynchronous,,"Clark, Alexis", ,Twelve Week Course,TBA,TBA,24,25,,3/1,1,,
202030,Guilford,30438,ART 102,001,4,Visual Communications,,,"Thomas, William", ,Twelve Week Course,MW,2:15pm - 5:15pm,20,22,,4/1,2,,
202030,Guilford,30668,ART 102,002,4,Visual Communications,,,"Thomas, William", ,Twelve Week Course,TR,8:30am - 11:30am,16,22,,1/1,6,,
202030,Guilford,30440,ART 104,002,4,Drawing Fundamentals,,,"Williams, Antoine",HCOX 202,Twelve Week Course,MW,10:00am - 12:45pm,19,22,,4/1,3,22,
202030,Guilford,30441,ART 106,001,4,Design of Objects,Course fee: $65.,,"Tefft, Charles",HCOX 120,Twelve Week Course,MW,10:00am - 12:45pm,12,12,,0/1,0,,
202030,Guilford,30442,ART 211,001,4,Painting Basics: Form & Color,Course fee: $65.,,"Williams, Antoine",HCOX 200,Twelve Week Course,TR,11:45am - 2:45pm,11,12,,1/1,1,,
202030,Guilford,30443,ART 221,001,4,Printmaking:Woodcut,Course fee: $65.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Course,MW,2:15pm - 5:15pm,7,10,,0/1,2,8,
202030,Guilford,30436,ART 232,001,4,Welding for Sculpture,Course fee: $65.,,"Healy, Patrick",HCOX 120,3 Week Session,MTWRF,2:00pm - 5:00pm,12,10,0/0,0/0,0,,
202030,Guilford,30434,ART 243,001,4,The Political Print,Combined with 343. Course fee: $50.,,"Collier, Kaitlyn",HCOX 201,3 Week Session,MTWRF,9:00am - 12:00pm,10,10,0/0,0/0,0,14,
202030,Guilford,30446,ART 250,001,4,Hist. of Latin American Art,Online asynchronous,,"Clark, Alexis", ,Twelve Week Course,TBA,TBA,12,12,,1/1,0,,
202030,Guilford,30594,ART 250,002,4,Scene Painting,Course fee: $65,,"Vest, Robin",FOUN STERBBERGR,3 Week Session,MTWRF,9:00am - 12:00pm,11,15,0/0,0/0,4,14,
202030,Guilford,30447,ART 255,001,4,Ceramics:Wheel Throwing,Course fee: $75.,,"Tefft, Charles",HCOX 130,Twelve Week Course,MW,2:15pm - 5:00pm,9,12,,0/1,2,,
202030,Guilford,30669,ART 273,001,4,Photo: Color,Course fee $75.,,"Woods, Stephanie", ,Twelve Week Course,TBA,TBA,12,12,,1/1,0,,
202030,Guilford,30448,ART 310,001,4,Drawing Exploration,Prerequisite: ART 104 Drawing Fundamentals.,,"Williams, Antoine",HCOX 200,Twelve Week Course,MW,8:30am - 11:15am,3,5,0/0,0/0,2,22,
202030,Guilford,30435,ART 343,001,4,The Political Print,Prerequisite: any print course at 200 level or above. Course fee: $50.,,"Collier, Kaitlyn",HCOX 201,3 Week Session,MTWRF,9:00am - 12:00pm,4,5,0/0,0/0,1,14,
202030,Guilford,30449,ART 344,001,4,Print: Explorations in Process,Course fee: $75.  Prerequisite: any print course at 200 level or above.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Course,MW,2:15pm - 5:15pm,1,5,0/0,0/0,4,8,
202030,Guilford,30451,ART 480,001,4,Advanced Creative Research,,,"Collier, Kaitlyn",HCOX 110,Twelve Week Course,TR,8:45am - 11:30am,9,15,0/0,0/0,6,,
202030,Guilford,30279,BIOL 101,001,4,Exploratns Biol:Special Topics,,,"East, David",FRNK L26   FRNK L26,3 Week Session,MTWRF   MTWRF,2:00pm - 5:00pm   9:00am - 12:00pm,14,18,0/0,0/0,4,,
202030,Guilford,30613,BIOL 150,001,4,Intro to Molecular and Cell Bi,Corequisite: Associated lab.,,"Brendley, Bryan", ,Twelve Week Course,TR,1:00pm - 3:00pm,20,20,0/0,0/0,0,,
202030,Guilford,30614,BIOL 150,002,0,Lab,,,"Brendley, Bryan", ,Twelve Week Course,W,2:30pm - 5:30pm,20,20,0/0,0/0,0,,
202030,Guilford,30278,BIOL 201,001,4,Intro Biol: Form and Function,,,"Stracey Richard, Christine",     ,3 Week Session,MTWRF   MTWRF,2:00pm - 5:00pm   9:00am - 12:00pm,17,20,0/0,0/0,3,,
202030,Guilford,30281,BIOL 202,001,4,Intro Biol: Ecol and Evolution,Corequisite: Associated lab.,,"Stracey Richard, Christine", ,Twelve Week Course,TR,1:00pm - 3:00pm,20,20,,4/1,0,,
202030,Guilford,30282,BIOL 202,002,0,Lab,,,"Stracey Richard, Christine", ,Twelve Week Course,W,2:30pm - 5:30pm,20,20,0/0,0/0,0,,
202030,Guilford,30289,BIOL 203,001,4,Intro Biol:Molecules and Cells,Corequisite: Associated lab.,,"Malotky, Michele",FRNK 109,Twelve Week Course,TR,10:45am - 12:45pm,18,18,,5/1,0,,
202030,Guilford,30290,BIOL 203,002,0,Lab,,,"Malotky, Michele",FRNK 110,Twelve Week Course,M,2:30pm - 5:30pm,18,18,,5/1,0,,
202030,Guilford,30295,BIOL 203,003,4,Intro Biol:Molecules and Cells,Corequisite; Associated lab.,,"Malotky, Michele",FRNK 110,Twelve Week Course,TR,1:00pm - 3:00pm,18,15,0/0,0/0,0,,
202030,Guilford,30296,BIOL 203,004,0,Lab,,,"Malotky, Michele",FRNK 110,Twelve Week Course,W,2:30pm - 5:30pm,18,15,0/0,0/0,0,,
