"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
202130,Direct Study Abroad,30625,ABRD 999,001,0,Abroad Invoice-Direct Study,Required for Direct Study Abroad.,,,TBA,Full Semester Courses,TBA,,2,25,0/0,0/0,23,,
202130,Guilford,30110,ACCT 201,001,4,Introduction to Accounting,Online Asynchronous.,,"Wencel, Mark", ,Twelve Week Course,TBA,TBA,45,45,0/0,0/0,0,,
202130,Guilford,30113,ACCT 301,001,4,Intermediate Accounting I,"Prerequiste: ACCT 201, and passing business math test. Face to face course.",,"Granger, Henry",KING 201,Twelve Week Course,TR,8:30am - 10:30am,5,25,0/0,0/0,20,,
202130,Guilford,30114,ACCT 302,001,4,Intermediate Accounting II,Prerequiste: ACCT 301 and passing business math test. Face to face course.,,"Granger, Henry",KING 202,Twelve Week Course,TR,10:45am - 12:45pm,3,25,0/0,0/0,22,,
202130,Guilford,30939,ACCT 303,001,4,Intermediate Accounting III,Prerequisite: ACCT 302 and passing business math test. Face to face course.,,"Granger, Henry",KING 203,Twelve Week Course,TR,1:00pm - 3:00pm,6,10,0/0,0/0,4,,
202130,Guilford,30112,ACCT 311,001,4,Cost Accounting,Prerequisite: ACCT 201. Online asynchronous.,,"Wencel, Mark", ,Twelve Week Course,TR,1:00pm - 3:00pm,7,18,0/0,0/0,11,,
202130,Guilford,30116,ACCT 321,001,4,Taxation of Individuals,Prerequiste: ACCT 201 recommended. Online Asynchronous.,,"Wencel, Mark", ,Twelve Week Course,TBA,TBA,8,25,0/0,0/0,17,,
202130,Guilford,30437,ART 100,001,4,Introduction to Visual Arts,In-person,,"Alexander, Kaylee",KING 205,Twelve Week Course,TR,1:00pm - 3:00pm,17,1,,5/1,0,,
202130,Guilford,30438,ART 102,001,4,Visual Communications,Online Synchronous.,,"Thomas, William", ,Twelve Week Course,MW,2:15pm - 5:15pm,22,22,,5/1,0,,
202130,Guilford,30668,ART 102,002,4,Visual Communications,Hybrid course.,,"Williams, Antoine",HCOX 202,Twelve Week Course,TR,8:30am - 11:30am,23,22,,4/1,0,,
202130,Guilford,30440,ART 104,002,4,Drawing Fundamentals,Face to face course.,,"Collier, Kaitlyn",HCOX 202,Twelve Week Course,MW,10:00am - 12:45pm,23,22,0/0,0/0,0,,
202130,Guilford,30441,ART 106,001,4,Design of Objects,Course fee: $65.  In-person.,,"Dixon, Mark",HCOX 120,Twelve Week Course,MW,10:00am - 12:45pm,15,18,,5/1,3,,
202130,Guilford,30442,ART 211,001,4,Painting Basics: Form & Color,Course fee: $65.  Hybrid course.,,"Williams, Antoine",HCOX 200,Twelve Week Course,TR,11:45am - 2:45pm,12,12,,2/1,0,,
202130,Guilford,30443,ART 221,001,4,Printmaking:Woodcut,Course fee $65. Face to face course.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Course,MW,2:15pm - 5:15pm,13,12,,1/1,0,14,
202130,Guilford,30436,ART 232,001,4,Welding for Sculpture,Course fee: $65.  Face to face course.,,"Healy, Patrick",HCOX 120,3 Week Session,MTWRF,9:00am - 12:00pm,14,12,,0/1,0,,
202130,Guilford,30434,ART 243,001,4,The Political Print,Combined with 343. Course fee: $55. Face to face course.,,"Collier, Kaitlyn",HCOX 201,3 Week Session,MTWRF,9:00am - 12:00pm,11,12,0/0,0/0,1,14,
202130,Guilford,30951,ART 250,001,4,Color Theory,Course fee $35. Hybrid course.,,"Williams, Antoine",HCOX 202,3 Week Session,MTWRF,2:00pm - 5:00pm,6,6,0/0,0/0,0,14,
202130,Guilford,30447,ART 255,001,4,Ceramics:Wheel Throwing,Course fee: $75. Hybrid course.,,"Tefft, Charles",HCOX 130,Twelve Week Course,MW,10:00am - 12:45pm,11,12,,0/1,0,,
202130,Guilford,30955,ART 256,001,4,Ceramics:Hand-Build & Molds,Course fee $75. Face to face course.,,"Tefft, Charles",HCOX 130,Twelve Week Course,MW,2:15pm - 5:00pm,14,14,,2/1,0,,
202130,Guilford,30669,ART 273,001,4,Photo: Color,Course fee $75. Online Synchronous.,,"Barfield, Johannes", ,Twelve Week Course,TR,10:00am - 12:45pm,12,12,,2/1,0,,
202130,Guilford,30954,ART 304,001,4,Art History: Photography,In-person,,"Alexander, Kaylee",HCOX 103,Twelve Week Course,TR,6:00pm - 8:00pm,12,25,0/0,0/0,13,,
202130,Guilford,30952,ART 309,001,4,Color Theory,Course fee $35. Hybrid course.,,"Williams, Antoine",HCOX 202,3 Week Session,MTWRF,2:00pm - 5:00pm,8,6,0/0,0/0,0,14,
202130,Guilford,30435,ART 343,001,4,The Political Print,Prerequisite: any print course at 200 level or above. Course fee: $55. Face to face course.,,"Collier, Kaitlyn",HCOX 201,3 Week Session,MTWRF,9:00am - 12:00pm,3,6,0/0,0/0,3,14,
202130,Guilford,30449,ART 344,001,4,Print: Explorations in Process,Course fee: $65.  Prerequisite: any print course at 200 level or above. Face to face course.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Course,MW,2:15pm - 5:15pm,0,4,0/0,0/0,4,14,
202130,Guilford,30967,ART 422,001,4,Advanced Print Projects,Course fee: $65. Prerequisite: any print course at 300 level. Face to face course.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Course,MW,2:15pm - 5:15pm,1,4,0/0,0/0,3,14,
202130,Guilford,30451,ART 480,001,4,Advanced Creative Research,Hybrid course.,,"Dixon, Mark",HCOX 110,Twelve Week Course,TR,8:45am - 11:30am,3,15,0/0,0/0,12,,
202130,Guilford,30279,BIOL 101,001,4,Exploratns Biol:Special Topics,Online asynchronous,,"Brendley, Bryan",     ,3 Week Session,MTWRF   MTWRF,2:00pm - 5:00pm   9:00am - 12:00pm,19,18,0/0,0/0,0,,
202130,Guilford,30613,BIOL 150,001,4,Intro to Molecular and Cell Bi,Corequisite: Associated lab. On-line asynchronous with optional zoom meetings.,,"Hildreth, David", ,Twelve Week Course,TBA,TBA,21,20,,2/1,0,,
202130,Guilford,30614,BIOL 150,002,0,Lab,Online asynchronous.,,"Hildreth, David", ,Twelve Week Course,W,2:30pm - 5:30pm,20,20,,2/1,0,,
202130,Guilford,30278,BIOL 201,001,4,Intro Biol: Form and Function,,,"Stracey Richard, Christine",     ,3 Week Session,MTWRF   MTWRF,2:00pm - 5:00pm   9:00am - 12:00pm,19,19,0/0,0/0,0,,
202130,Guilford,30281,BIOL 202,001,4,Intro Biol: Ecol and Evolution,Corequisite: Associated lab.,,"Stracey Richard, Christine", ,Twelve Week Course,MW,2:45pm - 4:45pm,20,20,,6/1,0,,
202130,Guilford,30282,BIOL 202,002,0,Lab,,,"Stracey Richard, Christine", ,Twelve Week Course,R,11:45am - 2:45pm,20,20,,6/1,0,,
202130,Guilford,30289,BIOL 203,001,4,Intro Biol:Molecules and Cells,Corequisite: Associated lab.,,"Malotky, Michele",FRNK 109,Twelve Week Course,TR,10:45am - 12:45pm,18,18,,3/1,0,,
202130,Guilford,31013,BIOL 203,002,4,Intro Biol:Molecules and Cells,,,"Malotky, Michele",FRNK 124,Twelve Week Course,TR,1:00pm - 3:00pm,18,18,,1/1,0,,
202130,Guilford,31014,BIOL 203,003,0,Lab,,,"Malotky, Michele", ,Twelve Week Course,M,2:30pm - 5:30pm,19,18,,1/1,0,,
