"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201910,Direct Study Abroad,12072,ABRD 999,010,0,Abroad Invoice-Direct Study,,,,TBA,Full Term Courses,TBA,,10,25,0/0,0/0,15,,
201910,Guilford,10579,ACCT 201,001,4,Introduction to Accounting,,,"Parks, Karen",BAUM 202,Full Term Courses,MW,11:30am - 12:45pm,31,35,0/0,0/0,4,,
201910,Guilford,10204,ACCT 201,002,4,Introduction to Accounting,,,"Parks, Karen",BAUM 202,Full Term Courses,TR,1:00pm - 2:15pm,27,25,0/0,0/0,0,,
201910,Guilford,10205,ACCT 201,003,4,Introduction to Accounting,,,"Parks, Karen",BAUM 202,Full Term Courses,M,8:10pm - 10:10pm,11,25,0/0,0/0,14,,
201910,Guilford,11520,ACCT 300,001,4,Advanced Fraud Examinations,Fast Track I. Prerequisite: ACCT 200 and ACCT 201.,,"Granger, Henry",BAUM 203,First Half of Semester Course,MW,6:00pm - 8:00pm,9,25,0/0,0/0,16,,
201910,Guilford,11282,ACCT 301,001,4,Intermediate Accounting I,Prerequisite: ACCT 201.,,"Cardwell, Ronald",BAUM 205,Full Term Courses,M,8:10pm - 10:10pm,5,25,0/0,0/0,20,,
201910,Guilford,10210,ACCT 302,001,4,Intermediate Accounting II,Fast Track I.  Prerequisite:  ACCT 301.,,"Cardwell, Ronald",BAUM 205,First Half of Semester Course,MW,6:00pm - 8:00pm,7,25,0/0,0/0,18,,
201910,Guilford,10212,ACCT 303,001,4,Intermediate Accounting III,Fast Track II.  Prerequisite:  ACCT 302.,,"Cardwell, Ronald",BAUM 205,Second Half of Semester Course,MW,6:00pm - 8:00pm,6,25,0/0,0/0,19,,
201910,Guilford,10995,ACCT 311,002,4,Cost Accounting,Prerequisite:  ACCT 201.,,"Parks, Karen",BAUM 205,Full Term Courses,W,8:10pm - 10:10pm,7,25,0/0,0/0,18,,
201910,Guilford,10214,ACCT 322,001,4,Taxatn of Corp & Partnerships,Prerequisite:  ACCT 321 recommended.,,"Cole, Allison",KING 123,Full Term Courses,M,8:10pm - 10:10pm,9,35,0/0,0/0,26,,
201910,Guilford,10215,ACCT 411,001,4,Auditing,Prerequisite:  ACCT 303.,,"Granger, Henry",BAUM 203,Full Term Courses,W,8:10pm - 10:10pm,15,25,0/0,0/0,10,,
201910,Guilford,11284,ACCT 412,001,4,Advanced Forensic Investigatns,Prerequisite: ACCT 310 and ACCT 320.,,"Granger, Henry",BAUM 203,Full Term Courses,M,8:10pm - 10:10pm,5,25,0/0,0/0,20,,
201910,Guilford,11856,AFAM 106,001,4,Intro to African Heritage,,,"Gwako, Edwins",KING B24,Full Term Courses,MW,10:00am - 11:15am,17,18,0/0,0/0,1,24,
201910,Guilford,11835,ART 100,001,4,Introduction to Visual Arts,,,"Miserendino, Alyssa",KING 201,Full Term Courses,TR,1:00pm - 2:15pm,20,20,0/0,0/0,0,,
201910,Guilford,10018,ART 102,001,4,Two-Dimensional Design,,,"Williams, Antoine",HCOX 202,Full Term Courses,TR,4:00pm - 5:50pm,24,22,0/0,0/0,0,,
201910,Guilford,11571,ART 104,001,4,Drawing Fundamentals,,,"Williams, Antoine",HCOX 202,Full Term Courses,TF,10:00am - 11:50am,22,22,0/0,0/0,0,,
201910,Guilford,10022,ART 106,001,4,Three-Dimensional Design,Course fee: $65.,,"Dixon, Mark",HCOX 120,Full Term Courses,MR,1:00pm - 2:50pm,15,16,0/0,0/0,1,,
