"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
202010,Direct Study Abroad,10681,ABRD 999,002,0,Abroad Invce-Direct Study Abrd,,,,TBA,Twelve Week Courses,TBA,,11,25,0/0,0/0,14,,
202010,Guilford,10250,ACCT 201,001,4,Introduction to Accounting,Hybrid Course.,,"Parks, Karen",BAUM 205,Twelve Week Courses,MWF,10:00am - 11:15am,25,25,0/0,0/0,0,,
202010,Guilford,10252,ACCT 201,002,4,Introduction to Accounting,Hybrid Course.,,"Parks, Karen",BAUM 202,Twelve Week Courses,TR,8:30am - 10:30am,27,25,0/0,0/0,0,,
202010,Guilford,10563,ACCT 250,001,4,Personal Finance Decisions,,,"Cardwell, Ronald",BAUM 205,3 Week Term,MTWRF,9:00am - 12:00pm,25,25,0/0,0/0,0,,
202010,Guilford,10562,ACCT 301,001,4,Intermediate Accounting I,"Prerequiste: ACCT 201, and passing business math test.",,"Cardwell, Ronald",BAUM 203,Twelve Week Courses,TR,8:30am - 10:30am,12,25,0/0,0/0,13,,
202010,Guilford,10254,ACCT 302,001,4,Intermediate Accounting II,Hybrid Course. Prerequisites: ACCT 301 and passing business math test.,,"Granger, Henry",BAUM 205,Twelve Week Courses,TR,8:30am - 10:30am,7,25,0/0,0/0,18,,
202010,Guilford,10256,ACCT 311,001,4,Cost Accounting,Hybrid Course. Prerequisite: ACCT 201,,"Parks, Karen",BAUM 205,Twelve Week Courses,TR,1:00pm - 3:00pm,9,25,0/0,0/0,16,,
202010,Guilford,10257,ACCT 322,001,4,Corporate Taxation,Hybrid Course. Prerequisite: ACCT 321 recommended.,,"Cardwell, Ronald",BAUM 203,Twelve Week Courses,TR,1:00pm - 3:00pm,5,25,0/0,0/0,20,,
202010,Guilford,10260,ACCT 411,001,4,Auditing,Hybrid Course. Prerequisite: ACCT 302,,"Granger, Henry",BAUM 203,Twelve Week Courses,MW,6:00pm - 8:00pm,12,25,0/0,0/0,13,,
202010,Guilford,10261,ACCT 412,001,4,Advanced Forensic Investigatns,Hybrid Course.,,"Granger, Henry",BAUM 203,Twelve Week Courses,MW,8:15pm - 10:15pm,8,25,0/0,0/0,17,,
202010,Guilford,10585,ART 100,002,4,Introduction to Visual Arts,,,"Clark, Alexis",DUKE 202,Twelve Week Courses,TR,10:45am - 12:45pm,16,25,0/0,0/0,9,,
202010,Guilford,10477,ART 102,001,4,Visual Communications,,,"Thomas, William",HCOX 202,Twelve Week Courses,MW,2:15pm - 5:15pm,20,22,0/0,0/0,2,,
202010,Guilford,10476,ART 104,001,4,Drawing Fundamentals,,,"Thomas, William",HCOX 202,Twelve Week Courses,MW,10:00am - 12:45pm,22,22,0/0,0/0,0,,
202010,Guilford,10478,ART 106,001,4,Design of Objects,Course fee: $65.,,"Dixon, Mark",HCOX 120,Twelve Week Courses,TR,11:45am - 2:45pm,15,16,0/0,0/0,1,,
202010,Guilford,10480,ART 204,001,4,Life Drawing,Course fee: $40.  Prerequisite: ART 104. Drawing Fundamentals or instructor permission.,,"Collier, Kaitlyn",HCOX 202,Twelve Week Courses,TR,8:45am - 11:30am,12,10,0/0,0/0,0,14,
202010,Guilford,10660,ART 212,001,4,Paint. Basics:Abstraction/Mat.,Course fee: $65.,,"Williams, Antoine",HCOX 200,Twelve Week Courses,TR,11:45am - 2:45pm,0,13,0/0,0/0,13,,
202010,Guilford,10611,ART 235,001,4,Art History: Rens. in Florence,,,"Kircher, Timothy",DUKE 305,3 Week Term,MTWRF,2:00pm - 5:00pm,18,25,0/0,0/0,7,29,
202010,Guilford,10479,ART 245,001,4,Digital Darkroom,No prerequisite.,,"Campbell, Roxanne",BAUM L020,Twelve Week Courses,MW,2:30pm - 5:30pm,18,18,0/0,0/0,0,,
202010,Guilford,10918,ART 250,003,4,The Peripatetic Studio,,,"Dixon, Mark", ,3 Week Term,MTWRF,9:00am - 12:00pm,16,10,0/0,0/0,0,,
202010,Guilford,10492,ART 303,001,4,Art History: Contemporary Art,Prerequisite: any art or art history class.,,"Clark, Alexis",FRNK 102,Twelve Week Courses,TR,1:00pm - 3:00pm,7,25,0/0,0/0,18,,
202010,Guilford,10481,ART 305,001,4,Advanced Life Drawing,Course fee: $40. Prerequisite: ART 204 Life Drawing.,,"Collier, Kaitlyn",HCOX 202,Twelve Week Courses,TR,8:45am - 11:30am,2,6,0/0,0/0,4,14,
202010,Guilford,10917,ART 306,001,4,Ceramics: Scaling Up, Course fee: $75. Prerequisite: any Ceramics course.,,"Tefft, Charles", ,3 Week Term,MTWRF,9:30am - 12:30pm,14,13,0/0,0/0,0,,
202010,Guilford,10483,ART 308,001,4,Photo: The Singing Print,Course fee: $75. Prerequisite: ART 270 or any Photography course.,,"Campbell, Roxanne",HCOX 120,Twelve Week Courses,MW,10:00am - 12:45pm,7,12,0/0,0/0,5,,
202010,Guilford,10474,ART 322,001,4,Printmaking: Color Monotype,Course fee: $35.,,"Collier, Kaitlyn",HCOX 201,3 Week Term,MTWRF,9:00am - 12:00pm,16,15,0/0,0/0,0,,
202010,Guilford,10487,ART 323,001,4,Printmaking: Etching,Course fee: $65. No prerequisite.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Courses,MW,2:15pm - 5:15pm,9,12,0/0,0/0,3,11,
202010,Guilford,10485,ART 336,001,4,Ceramic Sculpture,Course fee: $75.,,"Dixon, Mark",HCOX 130,Twelve Week Courses,MW,10:00am - 12:45pm,9,12,0/0,0/0,3,14,
202010,Guilford,10486,ART 356,001,4,Ceramic Sculpture,Course fee: $75.  New Course.,,"Tefft, Charles",HCOX 130,Twelve Week Courses,MW,10:00am - 12:45pm,5,12,0/0,0/0,7,14,
202010,Guilford,10482,ART 410,001,4,Advanced Drawing Projects,Course fee: $25. Prerequisite: Any 300-level course in Drawing focus. May be repeated for credit.,,"Collier, Kaitlyn",HCOX 202,Twelve Week Courses,TR,8:45am - 11:30am,0,4,0/0,0/0,4,14,
202010,Guilford,10488,ART 422,001,4,Advanced Print Projects,Course fee: $65. Prerequisite: Any 300-level Printmaking course.  May be repeated for credit.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Courses,MW,2:15pm - 5:15pm,2,6,0/0,0/0,4,11,
202010,Guilford,10743,ART 450,001,4,Advance Studio Projects,,,"Williams, Antoine", ,Twelve Week Courses,TBA,TBA,7,13,0/0,0/0,6,,
202010,Guilford,10475,ART 479,001,4,Exhibition & Development,,,"Hammond, Theresa   Williams, Antoine",HCOX 110,3 Week Term,MTWRF,9:00am - 12:00pm,8,15,0/0,0/0,7,,
202010,Guilford,10489,ART 481,001,4,Senior Thesis,"ART 480, a 3.25 G.P.A. in art courses and permission of department faculty.",,"Hammond, Theresa   Williams, Antoine",HCOX 110,Twelve Week Courses,WF,8:15am - 11:15am,7,15,0/0,0/0,8,,
202010,Guilford,10433,BIOL 101,001,4,Exploratns Biol:Special Topics,Corequisite: Associated lab.,,"White, Megan",FRNK L07,3 Week Term,MTWRF,9:00am - 12:00pm,18,20,0/0,0/0,2,,
202010,Guilford,10434,BIOL 101,002,0,Lab,,,"White, Megan",FRNK L07,3 Week Term,TWR,2:00pm - 5:00pm,18,20,0/0,0/0,2,,
202010,Guilford,10415,BIOL 202,001,4,Intro Biol: Ecol and Evolution,Corequisite: Associated lab.,,"White, Megan",FRNK L07,Twelve Week Courses,TR,1:00pm - 3:00pm,20,20,0/0,0/0,0,,
202010,Guilford,10416,BIOL 202,002,0,Lab,,,"White, Megan",FRNK L07,Twelve Week Courses,W,2:30pm - 5:30pm,20,20,0/0,0/0,0,,
202010,Guilford,10564,BIOL 203,001,4,Intro Biol:Molecules and Cells,Corequisite; Associated lab.,,"Leuthner, Tess",FRNK 110,Twelve Week Courses,TR,8:30am - 10:30am,20,20,0/0,0/0,0,,
202010,Guilford,10565,BIOL 203,002,0,Lab,,,"Leuthner, Tess",FRNK 110,Twelve Week Courses,R,11:45am - 2:45pm,20,20,0/0,0/0,0,,
202010,Guilford,10437,BIOL 245,001,4,Introduction Forensic Science,,,"Keegan, Frank",FRNK 102,3 Week Term,MTWRF,2:00pm - 5:00pm,11,12,0/0,0/0,1,,
