"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
202230,Direct Study Abroad,30625,ABRD 999,001,0,Abroad Invoice-Direct Study,Required for Direct Study Abroad.,,,TBA,Full Semester Courses,TBA,,5,25,0/0,0/0,20,,
202230,Guilford,30110,ACCT 201,001,4,Introduction to Accounting,In-person course,,"Wencel, Mark",KING 202,Twelve Week Course,TR,10:45am - 12:45pm,19,18,0/0,0/0,0,,
202230,Guilford,31262,ACCT 201,002,4,Introduction to Accounting,In-person course,,"Wencel, Mark",KING B25,Twelve Week Course,TR,1:00pm - 3:00pm,18,18,0/0,0/0,0,,
202230,Guilford,30113,ACCT 301,001,4,Intermediate Accounting I,"Prerequiste: ACCT 201, and passing business math test. Face to face course.",,"Granger, Henry",KING B25,Twelve Week Course,TR,8:30am - 10:30am,4,18,0/0,0/0,14,,
202230,Guilford,30939,ACCT 303,001,4,Intermediate Accounting III,Prerequisite: ACCT 302 and passing business math test. Face to face course.,,"Granger, Henry",KING 203,Twelve Week Course,TR,1:00pm - 3:00pm,4,10,0/0,0/0,6,,
202230,Guilford,30112,ACCT 311,001,4,Cost Accounting,Prerequisite: ACCT 201. On-Campus Course.,,"Granger, Henry",KING 203,Twelve Week Course,TR,10:45am - 12:45pm,9,18,0/0,0/0,9,,
202230,Guilford,31254,ACCT 410,001,4,Income Tax Theory and Practice,On-campus,,"Wencel, Mark",KING 203,Twelve Week Course,TR,8:30am - 10:30am,4,18,0/0,0/0,14,,
202230,Guilford,31213,AFAM 225,001,4,African American History,In-person course,,"Thuesen, Sarah",DUKE 204,Twelve Week Course,MW,10:00am - 12:00pm,18,25,0/0,0/0,7,24,
202230,Guilford,31181,AFAM 259,001,4,ADHD and African Am Children,Online asynchronous	,,"Tinsley, Karen", ,3 Week Session,TBA,TBA,13,25,0/0,0/0,12,25,
202230,Guilford,31275,AFAM 350,001,4,Harlem Renaissance,Prerequisite: Minimum 66 semester credits earned and completion of Historical Perspectives requirement.,,"Fellers, Tracie",DUKE 213,Twelve Week Course,TR,1:00pm - 3:00pm,3,18,0/0,0/0,15,8,
202230,Guilford,30437,ART 100,001,4,Introduction to Visual Arts,In-person,,"Vaughan, Tamara",KING 205,Twelve Week Course,TR,1:00pm - 3:00pm,14,20,,3/1,6,,
202230,Guilford,30438,ART 102,001,4,Visual Communications,In-Person..,,"Sebastian, Neeraj",HCOX 202,Twelve Week Course,MW,2:15pm - 5:15pm,20,22,,4/1,2,,
202230,Guilford,30668,ART 102,002,4,Visual Communications,Hybrid course.,Hybrid,"Thomas, William",HCOX 202,Twelve Week Course,TR,8:30am - 11:30am,21,22,,6/1,1,,
202230,Guilford,30440,ART 104,001,4,Drawing Fundamentals,Face to face course.,,"Collier, Kaitlyn",HCOX 202,Twelve Week Course,MW,10:00am - 12:45pm,22,22,0/0,0/0,0,,
202230,Guilford,30441,ART 106,001,4,Design of Objects,Course fee: $65.  In-person.,,"Dixon, Mark",HCOX 120,Twelve Week Course,MW,10:00am - 12:45pm,17,18,,3/1,1,,
202230,Guilford,30442,ART 211,001,4,Painting Basics: Form & Color,Course fee: $65.  In-person course.,,"Thomas, William",HCOX 200,Twelve Week Course,TR,11:45am - 2:45pm,12,12,,2/1,0,,
202230,Guilford,30443,ART 221,001,4,Printmaking:Woodcut,Course fee $65. Face to face course.,,"Collier, Kaitlyn",HCOX 201,Twelve Week Course,MW,2:15pm - 5:15pm,12,12,,2/1,0,12,
202230,Guilford,30436,ART 232,001,4,Welding for Sculpture,Course fee: $65.  Face to face course.,,"Dixon, Mark",HCOX 120,Twelve Week Course,TR,8:30am - 11:30am,12,12,,2/1,0,,
202230,Guilford,30434,ART 243,001,4,The Political Print,Combined with 343. Course fee: $55. Face to face course.,,"Collier, Kaitlyn",HCOX 201,3 Week Session,MTWRF,9:00am - 12:00pm,9,10,0/0,0/0,1,12,
202230,Guilford,31185,ART 250,001,4,18th-century woodworking,Course fee $500.  In-person course.,,"Hood, James", ,3 Week Session,MTWRF,9:00am - 12:00pm,12,12,0/0,0/0,0,,
202230,Guilford,30447,ART 255,001,4,Ceramics:Wheel Throwing,Course fee: $75. In-person course.,,"Tefft, Charles",HCOX 130,Twelve Week Course,MW,10:00am - 12:45pm,13,12,,0/1,0,,
202230,Guilford,30955,ART 256,001,4,Ceramics:Hand-Build & Molds,Course fee $75. Face to face course.,,"Tefft, Charles",HCOX 130,Twelve Week Course,MW,2:15pm - 5:00pm,14,14,,2/1,0,,
202230,Guilford,30669,ART 273,001,4,Photo: Color,Course fee $75. Hybrid course.,,"Beaton, Jill",BAUM L020,Twelve Week Course,TR,10:00am - 12:45pm,12,12,,1/1,0,,
202230,Guilford,31186,ART 303,001,4,Art History: Contemporary Art,In-person course,,"Vaughan, Tamara",HCOX 103,Twelve Week Course,TR,6:00pm - 8:00pm,7,25,0/0,0/0,18,,
202230,Guilford,30952,ART 309,001,4,Color Theory,Course fee $35. In-person course.,,"Thomas, William", ,3 Week Session,MTWRF,9:00am - 12:00pm,16,18,0/0,0/0,2,,
202230,Guilford,31184,ART 310,001,4,Drawing Exploration,On-campus course,,"Reichhardt, Miranda",HCOX 202,Twelve Week Course,WF,8:30am - 11:15am,7,22,0/0,0/0,15,,
202230,Guilford,30435,ART 343,001,4,The Political Print,Prerequisite: any print course at 200 level or above. Course fee: $55. Face to face course.,,"Collier, Kaitlyn",HCOX 201,3 Week Session,MTWRF,9:00am - 12:00pm,3,2,0/0,0/0,0,12,
