"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201730,Guilford,32639,FYS 101,008,4,Freedom Dreams,Corequisite: 33075 First Year Experience.,,"Holland, Johnnie",DUKE 203,Full Term Courses,TF,10:00am - 11:15am,19,20,,18/20,0,,
201730,Guilford,32628,FYS 101,009,4,Living in Surveillance Society,Corequisite: 32667 First Year Experience.,,"Spellman, Rod",DUKE 202,Full Term Courses,MW,10:00am - 11:15am,20,20,,20/20,0,,
201730,Guilford,32626,FYS 101,010,4,Histories and Stories of Race,Corequisite: 32652 First Year Experience..,,"Spira, Karen",DUKE 305,Full Term Courses,TF,10:00am - 11:15am,20,20,,20/20,0,,
201730,Guilford,32637,FYS 101,011,4,Materialism and Stuff,Corequisite: 32648 First Year Experience.,,"Henry, Christopher",KING B26,Full Term Courses,TF,10:00am - 11:15am,20,20,,20/20,0,,
201730,Guilford,32641,FYS 101,012,4,Journey into the Unknown,Corequisite: 32651 First Year Experience.,,"Dyson, Omari",DUKE 305,Full Term Courses,MW,10:00am - 11:15am,20,20,,19/20,0,,
201730,Guilford,32642,FYS 101,013,4,Finding Home,Corequisite: 32660 First Year Experience.,,"Babic, Aleks",DUKE 203,Full Term Courses,MW,10:00am - 11:15am,18,20,,17/20,0,,
201730,Guilford,32644,FYS 101,014,4,Growing Up in America,Corequisite: 32658 First Year Experience.,,"Thuesen, Sarah",DUKE 211,Full Term Courses,MW,10:00am - 11:15am,15,20,,15/20,0,,
201730,Guilford,32645,FYS 101,015,4,Filming the Personal Narrative,Corequisite: 32650 First Year Experience.,,"Phillips, Chad",BAUM L020,Full Term Courses,TF,10:00am - 11:15am,19,20,,19/20,0,,
201730,Guilford,32646,FYS 101,016,4,Humans of Guilford College,Corequisite: 32662 First Year Experience.,,"Vest, Robin",DUKE 303,Full Term Courses,MW,10:00am - 11:15am,20,20,,19/20,0,,
201730,Guilford,32724,FYS 101,017,4,Creativity and Problems,Corequisite: 32727 First Year Experience.,,"Dixon, Mark",KING 222,Full Term Courses,MW,10:00am - 11:15am,20,20,,20/20,0,,
201730,Guilford,33015,FYS 101,018,4,Develop Global Vision for Bus,Corequisite: 32656 First Year Experience.,,"Wang, Wenling",KING 205,Full Term Courses,TF,10:00am - 11:15am,18,20,,17/20,0,,
201730,Guilford,30123,GEOL 121,001,4,Geology and the Environment,Corequisite:  Associated lab.,,"McCauley, Marlene",FRNK 101,Full Term Courses,MW,11:30am - 12:45pm,40,40,,9/1,0,,
201730,Guilford,30124,GEOL 121,002,0,Lab,,,"McCauley, Marlene",FRNK 205,Full Term Courses,M,2:30pm - 5:20pm,23,20,,5/1,0,,
201730,Guilford,30125,GEOL 121,003,0,Lab,,,"Peterson, Holly",FRNK 205,Full Term Courses,T,2:30pm - 5:20pm,17,20,,3/1,3,,
201730,Guilford,32912,GEOL 242,001,4,The Art & Science of Clay,Corequisite: Associated lab. Course Fee $80. Mandatory Saturday field trip required.,,"Peterson, Holly",FRNK 206,Full Term Courses,MW,11:30am - 1:20pm,13,11,0/0,0/0,0,,
201730,Guilford,32913,GEOL 242,002,0,Lab,,,"Peterson, Holly", ,Full Term Courses,TBA,TBA,13,11,0/0,0/0,0,,
201730,Guilford,32921,GEOL 340,001,4,Images of the Earth,Corequisite: Associated lab.,,"Dobson, David",FRNK 205,Full Term Courses,MW,10:00am - 11:15am,16,15,0/0,0/0,0,,
201730,Guilford,32922,GEOL 340,002,0,Lab,,,"Dobson, David",FRNK 205,Full Term Courses,R,2:30pm - 5:20pm,16,15,0/0,0/0,0,,
201730,Guilford,30064,GERM 101,001,4,Communicating in German I,Corequisite:  Associated lab.,,"Limburg, David",DUKE 305,Full Term Courses,MWR,11:30am - 12:45pm,33,33,,11/1,0,,
201730,Guilford,30752,GERM 101,002,0,Lab,,,"Starmer, Janet",DUKE 309,Full Term Courses,T,2:30pm - 3:45pm,20,20,,4/1,0,,
201730,Guilford,30751,GERM 101,003,0,Lab,,,"Starmer, Janet",DUKE 309,Full Term Courses,R,4:00pm - 5:15pm,13,20,,6/1,7,,
201730,Guilford,30065,GERM 201,001,4,Intermediate German I,Prerequisite: GERM 102 or exam placement.,,"Limburg, David",DUKE 201,Full Term Courses,TRF,1:00pm - 2:15pm,10,25,0/0,0/0,15,,
201730,Guilford,32896,GERM 310,001,4,Contemporary German Culture,Prerequisite: GERM 202 or placement.,,"Limburg, David",DUKE 305,Full Term Courses,TF,11:30am - 12:45pm,6,25,0/0,0/0,19,,
201730,Guilford,31758,GST 101,001,4,Adult Transition,Enrollment limited to first semester CCE students only. NO EXCEPTIONS.,,,DUKE 204,Full Term Courses,MWR,10:00am - 11:15am,0,18,0/18,,0,,
201730,Guilford,30514,GST 101,002,4,Adult Transition,Enrollment limited to first semester CCE students only. NO EXCEPTIONS.,,,FRNK 329,Full Term Courses,TR,6:00pm - 7:15pm,0,18,0/18,,0,,
201730,Guilford,32342,GST 102,001,1,Study Abroad Orientation,Class will meet second half of semester in Douglas M. Gilmer room in Founders. Required course for all students studying abroad spring 2018.,,"Diaz, Daniel", ,Second half of semester course,TBA,12:00pm - 3:00pm,22,60,0/0,0/0,38,,
201730,Guilford,32195,GST 105,001,2,Quaker Social Testimonies,Class will meet first half of semester in Friends Center room 100.,,"Daniels, Wess", ,First half of semester course,MR,8:30am - 9:45am,14,25,0/0,0/0,11,,
201730,Guilford,32277,GST 107,001,2,Intro to Community Learning,Enrollment limited to first year students.,,"Shields, James",DUKE 103,Full Term Courses,M,1:00pm - 2:15pm,20,25,0/0,0/0,5,,
201730,Guilford,30695,GST 110,001,2,Quantitative Literacy,,,"Byrd, Mae",KING 201,Full Term Courses,MW,8:30am - 9:45am,7,22,0/0,0/0,15,,
